0	454	0
0	372	0
0	185	0
0	442	0
0	71	0
0	336	1
0	46	1
0	349	1
0	384	0
0	56	0
0	114	0
0	37	0
0	47	0
0	113	1
0	139	0
0	184	1
0	115	0
0	288	0
0	249	0
0	425	1
0	33	0
0	426	0
0	414	0
0	218	0
0	441	1
0	440	0
0	0	0
0	287	0
0	183	0
0	311	0
0	335	1
0	286	1
0	273	0
0	334	0
0	140	1
0	165	1
0	133	1
0	55	1
1	454	0
1	372	1
1	185	0
1	442	1
1	71	1
1	336	1
1	46	1
1	349	0
1	384	0
1	56	1
1	114	0
1	37	0
1	47	1
1	113	0
1	139	0
1	184	0
1	115	1
1	288	0
1	249	0
1	425	1
1	33	0
1	426	1
1	414	0
1	218	0
1	441	0
1	440	0
1	0	0
1	287	0
1	183	1
1	311	0
1	335	0
1	286	0
1	273	0
1	334	0
1	140	0
1	165	0
1	133	0
1	55	0
2	454	0
2	372	0
2	185	0
2	442	0
2	71	1
2	336	1
2	46	0
2	349	1
2	384	0
2	56	0
2	114	0
2	37	0
2	47	1
2	113	0
2	139	0
2	184	0
2	115	0
2	288	0
2	249	0
2	425	0
2	33	0
2	426	0
2	414	0
2	218	1
2	441	0
2	440	0
2	0	0
2	287	1
2	183	0
2	311	0
2	335	0
2	286	0
2	273	0
2	334	0
2	140	0
2	165	1
2	133	1
2	55	1
3	454	0
3	372	0
3	185	0
3	442	0
3	71	1
3	336	1
3	46	0
3	349	0
3	384	0
3	56	0
3	114	0
3	37	0
3	47	1
3	113	0
3	139	0
3	184	0
3	115	0
3	288	0
3	249	0
3	425	0
3	33	0
3	426	0
3	414	0
3	218	0
3	441	0
3	440	0
3	0	0
3	287	0
3	183	0
3	311	0
3	335	0
3	286	0
3	273	0
3	334	0
3	140	0
3	165	0
3	133	0
3	55	0
4	454	0
4	372	0
4	185	0
4	442	0
4	71	1
4	336	1
4	46	0
4	349	1
4	384	0
4	56	0
4	114	0
4	37	0
4	47	1
4	113	0
4	139	0
4	184	0
4	115	0
4	288	0
4	249	0
4	425	1
4	33	0
4	426	0
4	414	1
4	218	0
4	441	0
4	440	0
4	0	1
4	287	1
4	183	0
4	311	0
4	335	0
4	286	0
4	273	0
4	334	0
4	140	0
4	165	1
4	133	1
4	55	0
5	454	1
5	372	0
5	185	1
5	442	1
5	71	1
5	336	1
5	46	1
5	349	0
5	384	1
5	56	1
5	114	0
5	37	1
5	47	0
5	113	1
5	139	1
5	184	1
5	115	0
5	288	1
5	249	1
5	425	0
5	33	1
5	426	0
5	414	0
5	218	1
5	441	0
5	440	0
5	0	1
5	287	1
5	183	0
5	311	1
5	335	1
5	286	1
5	273	0
5	334	1
5	140	0
5	165	0
5	133	0
5	55	1
6	454	0
6	372	1
6	185	1
6	442	0
6	71	1
6	336	0
6	46	1
6	349	1
6	384	1
6	56	1
6	114	1
6	37	0
6	47	0
6	113	1
6	139	0
6	184	1
6	115	0
6	288	0
6	249	0
6	425	0
6	33	0
6	426	0
6	414	0
6	218	0
6	441	0
6	440	0
6	0	1
6	287	1
6	183	0
6	311	0
6	335	0
6	286	0
6	273	0
6	334	0
6	140	1
6	165	0
6	133	0
6	55	0
7	454	1
7	372	1
7	185	0
7	442	1
7	71	1
7	336	0
7	46	0
7	349	1
7	384	1
7	56	0
7	114	1
7	37	0
7	47	0
7	113	1
7	139	0
7	184	1
7	115	1
7	288	1
7	249	0
7	425	0
7	33	0
7	426	1
7	414	0
7	218	1
7	441	0
7	440	0
7	0	1
7	287	1
7	183	0
7	311	1
7	335	1
7	286	0
7	273	0
7	334	1
7	140	1
7	165	0
7	133	0
7	55	1
8	454	0
8	372	0
8	185	0
8	442	1
8	71	0
8	336	0
8	46	1
8	349	1
8	384	1
8	56	0
8	114	1
8	37	1
8	47	0
8	113	1
8	139	0
8	184	0
8	115	1
8	288	0
8	249	0
8	425	1
8	33	0
8	426	1
8	414	1
8	218	0
8	441	0
8	440	0
8	0	0
8	287	1
8	183	1
8	311	0
8	335	0
8	286	0
8	273	1
8	334	0
8	140	1
8	165	1
8	133	0
8	55	0
9	454	1
9	372	1
9	185	1
9	442	1
9	71	1
9	336	1
9	46	1
9	349	1
9	384	1
9	56	1
9	114	0
9	37	1
9	47	1
9	113	1
9	139	1
9	184	1
9	115	1
9	288	1
9	249	0
9	425	1
9	33	1
9	426	1
9	414	1
9	218	1
9	441	0
9	440	1
9	0	1
9	287	1
9	183	0
9	311	1
9	335	1
9	286	0
9	273	1
9	334	0
9	140	1
9	165	0
9	133	0
9	55	1
10	454	0
10	372	0
10	185	1
10	442	1
10	71	0
10	336	0
10	46	1
10	349	0
10	384	0
10	56	0
10	114	1
10	37	0
10	47	0
10	113	0
10	139	0
10	184	1
10	115	1
10	288	0
10	249	1
10	425	0
10	33	0
10	426	1
10	414	0
10	218	0
10	441	1
10	440	1
10	0	1
10	287	0
10	183	0
10	311	1
10	335	1
10	286	0
10	273	1
10	334	1
10	140	0
10	165	0
10	133	0
10	55	0
11	454	1
11	372	1
11	185	1
11	442	1
11	71	1
11	336	1
11	46	0
11	349	1
11	384	1
11	56	1
11	114	0
11	37	1
11	47	1
11	113	1
11	139	1
11	184	1
11	115	1
11	288	1
11	249	0
11	425	0
11	33	0
11	426	1
11	414	0
11	218	1
11	441	1
11	440	1
11	0	1
11	287	0
11	183	0
11	311	0
11	335	1
11	286	1
11	273	1
11	334	1
11	140	1
11	165	0
11	133	0
11	55	1
12	454	1
12	372	1
12	185	0
12	442	1
12	71	0
12	336	0
12	46	1
12	349	1
12	384	0
12	56	0
12	114	0
